customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us
4909,10,91,5032.24,68,659,0.51,0.49,104.0,370.0,0.0,110.0,0.0,317.0,338.0,147.0,1105.0,0.0,0.0,1225.0,0.0,0.0,1016.0,13.0,288.0,0.0,0.0,1124.34,3810.69,0.0,0.0,0.0,97.21,31.0,0.0,2.0,4.0,2.0,44.0,0.0
4910,3,147,4405.61,84,449,0.91,0.09,0.0,154.0,0.0,16.0,0.0,6.0,1537.0,67.0,29.0,0.0,190.0,868.0,0.0,0.0,833.0,0.0,705.0,0.0,0.0,2494.63,1910.98,0.0,0.0,0.0,0.0,110.0,36.0,0.0,0.0,1.0,0.0,0.0
4911,7,210,4839.02,119,559,0.78,0.22,0.0,22.0,0.0,567.0,0.0,100.0,389.0,176.0,297.0,0.0,0.0,1415.0,0.0,0.0,982.0,0.0,892.0,0.0,0.0,2563.25,2275.77,0.0,0.0,0.0,0.0,134.0,3.0,0.0,1.0,1.0,68.0,0.0
4912,16,1598,63526.95,442,963,0.51,0.49,3107.0,4670.0,0.0,2250.0,0.0,1127.0,19368.0,1398.0,2941.0,0.0,1988.0,7627.0,0.0,1100.0,12609.0,684.0,4587.0,70.0,0.0,57582.93,4949.48,38.64,0.0,0.0,955.9,1335.0,26.0,7.0,5.0,113.0,22.0,6.0
4913,4,80,5352.03,56,492,0.53,0.47,3571.0,0.0,0.0,43.0,0.0,177.0,298.0,68.0,20.0,0.0,0.0,510.0,0.0,61.0,467.0,93.0,43.0,0.0,0.0,2726.39,2625.64,0.0,0.0,0.0,0.0,69.0,0.0,0.0,3.0,0.0,3.0,0.0
4914,10,644,24630.25,302,702,0.98,0.02,472.0,0.0,0.0,264.0,0.0,723.0,10027.0,557.0,1958.0,0.0,41.0,5436.0,0.0,0.0,2265.0,55.0,2833.0,0.0,0.0,20063.58,2428.3,0.0,0.0,0.0,253.83,485.0,25.0,0.0,0.0,0.0,0.0,0.0
4915,6,272,10917.17,98,787,0.51,0.49,100.0,992.0,0.0,574.0,0.0,18.0,243.0,202.0,2541.0,0.0,0.0,3870.0,0.0,0.0,1371.0,0.0,1005.0,0.0,0.0,10507.24,402.4,0.0,0.0,0.0,7.53,245.0,8.0,0.0,0.0,0.0,0.0,0.0
4916,3,44,80.27,3,753,0.0,1.0,0.0,70.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,2.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0
4917,1,51,695.15,30,55,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,46.0,0.0,138.0,0.0,0.0,695.15,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
4918,11,149,14442.42,59,954,0.17,0.83,0.0,922.0,0.0,4992.0,0.0,1901.0,150.0,105.0,1566.0,0.0,0.0,985.0,0.0,0.0,3025.0,0.0,797.0,0.0,0.0,1452.02,8871.01,0.0,0.0,0.0,4063.71,19.0,29.0,0.0,2.0,0.0,0.0,14.0
4919,18,429,28154.15,247,601,0.77,0.23,123.0,690.0,0.0,33.0,0.0,2825.0,2920.0,2401.0,216.0,0.0,497.0,2640.0,0.0,0.0,15727.0,19.0,63.0,0.0,0.0,21418.95,681.5,0.0,24.12,0.0,331.22,252.0,0.0,3.0,7.0,1.0,2.0,7.0
4920,14,433,9999.27,172,823,0.45,0.55,1013.0,718.0,0.0,1831.0,0.0,21.0,1815.0,253.0,529.0,0.0,59.0,852.0,0.0,0.0,2837.0,0.0,72.0,0.0,0.0,5854.01,1484.43,30.56,0.0,0.0,449.14,173.0,44.0,2.0,65.0,31.0,7.0,39.0
4921,5,348,7844.42,154,383,0.5,0.5,376.0,332.0,0.0,1000.0,0.0,710.0,719.0,215.0,29.0,0.0,0.0,1418.0,76.0,0.0,2850.0,46.0,73.0,0.0,0.0,445.92,29.5,0.0,0.0,0.0,7369.0,17.0,1.0,0.0,0.0,5.0,0.0,323.0
4922,16,293,7704.77,138,894,0.47,0.53,0.0,1110.0,0.0,290.0,0.0,401.0,1520.0,42.0,93.0,0.0,0.0,1509.0,0.0,662.0,858.0,2.0,1219.0,0.0,0.0,6228.93,1132.12,0.0,0.0,0.0,287.01,194.0,22.0,1.0,16.0,8.0,1.0,10.0
4923,7,287,2324.02,79,757,0.59,0.41,40.0,0.0,0.0,237.0,0.0,0.0,606.0,40.0,0.0,0.0,0.0,208.0,0.0,0.0,772.0,8.0,414.0,0.0,0.0,2175.05,148.97,0.0,0.0,0.0,0.0,236.0,27.0,2.0,0.0,0.0,0.0,3.0
4924,8,32,1960.95,22,695,0.26,0.74,0.0,539.0,0.0,55.0,0.0,25.0,77.0,107.0,0.0,0.0,0.0,409.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0,1605.66,189.31,0.0,0.0,0.0,165.98,12.0,3.0,5.0,0.0,0.0,0.0,2.0
4925,4,53,4440.5,41,617,0.99,0.01,555.0,0.0,0.0,139.0,0.0,0.0,175.0,0.0,2767.0,0.0,0.0,652.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,1688.25,2752.25,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0
4926,3,47,9943.96,27,367,0.99,0.01,9135.0,0.0,0.0,145.0,0.0,0.0,88.0,46.0,68.0,0.0,0.0,61.0,0.0,0.0,207.0,0.0,194.0,0.0,0.0,617.55,9326.41,0.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,12.0,0.0
4927,9,194,8139.45,115,961,0.41,0.59,0.0,77.0,0.0,388.0,0.0,49.0,535.0,26.0,263.0,0.0,0.0,1048.0,0.0,132.0,5441.0,36.0,145.0,0.0,0.0,6950.72,741.87,0.0,0.0,0.0,13.4,114.0,20.0,1.0,3.0,0.0,0.0,16.0
4928,8,348,3910.89,94,578,0.49,0.51,0.0,328.0,0.0,61.0,0.0,354.0,826.0,21.0,15.0,0.0,0.0,831.0,0.0,0.0,124.0,0.0,1351.0,0.0,0.0,3322.76,557.61,2.39,0.0,0.0,28.13,329.0,4.0,0.0,0.0,5.0,0.0,2.0
4929,9,303,6587.43,90,503,0.49,0.51,280.0,89.0,0.0,1803.0,0.0,0.0,376.0,39.0,1414.0,0.0,0.0,1265.0,0.0,49.0,34.0,0.0,1238.0,0.0,0.0,5668.38,919.05,0.0,0.0,0.0,0.0,253.0,3.0,0.0,6.0,17.0,7.0,0.0
4930,8,70,1829.27,39,276,0.21,0.79,173.0,274.0,0.0,198.0,0.0,0.0,111.0,37.0,418.0,0.0,0.0,87.0,0.0,0.0,455.0,0.0,77.0,0.0,0.0,1125.64,703.63,0.0,0.0,0.0,0.0,25.0,0.0,0.0,4.0,0.0,0.0,18.0
